nvar,variable_nvar,ncon,variable_ncon,minimize,name,has_equalities_only,has_inequalities_only,has_bounds,has_fixed_variables,objtype,contype,best_known_lower_bound,best_known_upper_bound,is_feasible,defined_everywhere,origin
100,true,0,false,true,powellsg,false,false,false,false,other,unconstrained,-Inf,5375.0,true,,unknown
100,true,0,false,true,power,false,false,false,false,least_squares,unconstrained,-Inf,2.55025e7,true,,unknown
100,true,0,false,true,quartc,false,false,false,false,other,unconstrained,-Inf,1.85427373e9,true,,unknown
100,true,0,false,true,sbrybnd,false,false,false,false,least_squares,unconstrained,-Inf,1568.0,true,,unknown
100,true,0,false,true,schmvett,false,false,false,false,other,unconstrained,-Inf,-189.06775423656546,true,,unknown
100,true,0,false,true,scosine,false,false,false,false,other,unconstrained,-Inf,86.88067362714696,true,,unknown
100,true,0,false,true,sinquad,false,false,false,false,other,unconstrained,-Inf,0.6561000000000001,true,,unknown
100,true,0,false,true,sparsine,false,false,false,false,other,unconstrained,-Inf,20893.26019829305,true,,unknown
100,true,0,false,true,sparsqur,false,false,false,false,other,unconstrained,-Inf,1420.3125,true,,unknown
100,true,0,false,true,spmsrtls,false,false,false,false,least_squares,unconstrained,-Inf,49.32387140878785,true,,unknown
100,true,0,false,true,srosenbr,false,false,false,false,other,unconstrained,-Inf,1210.0000000000011,true,,unknown
7,false,0,false,true,thurber,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,tointgss,false,false,false,false,other,unconstrained,-Inf,891.6078431372565,true,,unknown
100,true,0,false,true,tquartic,false,false,false,false,least_squares,unconstrained,-Inf,0.81,true,,unknown
100,true,0,false,true,tridia,false,false,false,false,other,unconstrained,-Inf,5049.0,true,,unknown
100,true,0,false,true,vardim,false,false,false,false,other,unconstrained,-Inf,1.3105836968932622e14,true,,unknown
8,false,0,false,true,vibrbeam,false,false,false,false,least_squares,unconstrained,-Inf,8231.27506726856,true,,unknown
31,false,0,false,true,watson,false,false,false,false,least_squares,unconstrained,-Inf,500.0,true,,unknown
100,true,0,false,true,woods,false,false,false,false,other,unconstrained,-Inf,180451.0,true,,unknown
